ds,yhat,yhat_lower,yhat_upper
2018-01-06,1310.2946630767456,-23586.685808736158,27184.52258659813
2018-01-07,8616.13803263781,-15300.476015814582,33372.64702735105
2018-01-08,6770.3420317160735,-19236.49711002575,33333.81975029169
2018-01-09,7777.997875601808,-18510.607307392846,34142.321241917874
2018-01-10,3950.6338846793133,-20947.604630559676,29674.394735005208
2018-01-11,-5216.487533789481,-32005.369224131802,19671.59477901009
2018-01-12,2276.440175315549,-22768.56984802105,28348.73070096012
2018-01-13,4473.107972184955,-21328.762001176416,30193.653603345254
2018-01-14,11402.384211839551,-13910.109943257177,37463.84466095708
2018-01-15,9154.25480738594,-18032.515438565064,34397.763049635134
2018-01-16,9744.084808618474,-16428.34101169937,34332.35307418879
2018-01-17,5493.71891288262,-22279.736844642386,30319.3779923555
2018-01-18,-4091.441170421662,-28564.435945469948,21497.836506668158
2018-01-19,2998.1576818953363,-22951.664568719847,29744.011616507058
2018-01-20,4815.353407200956,-21263.21297438828,32154.074554356055
2018-01-21,11397.368394375648,-14604.785805904048,34811.83996995588
2018-01-22,8841.574245378093,-16582.196405641236,33553.534580927604
2018-01-23,9169.599980486375,-13725.011022869452,36591.56974487316
2018-01-24,4708.304812375617,-21340.074821004382,29567.611515244575
2018-01-25,-5033.243546586158,-31705.055926634206,21022.88849674496
2018-01-26,1956.757536446834,-22392.872371841677,27691.193742249645
2018-01-27,3731.9437952662392,-22659.88069169709,30114.163065206885
2018-01-28,10328.8821637529,-15268.562060833585,35530.052018067756
2018-01-29,7842.867807673404,-17915.71994737788,33019.73115622081
2018-01-30,8292.097727225628,-17909.783134566194,32875.26635477464
2018-01-31,3998.7405745858414,-21591.08861302566,28770.28566629392
2018-02-01,-5533.958602023586,-29418.01822398753,20434.70196171127
2018-02-02,1699.0009151467748,-23734.11559594348,28062.974082217002
2018-02-03,3743.6493263599123,-21459.221950624622,29177.185993799365
2018-02-04,10628.338616298566,-15503.26042822597,37048.44704986305
2018-02-05,8439.747677916232,-17341.04482148696,33029.10603520483
2018-02-06,9187.272842327853,-16052.838622334217,34662.908136395
2018-02-07,5184.318181654514,-18985.714921045368,30467.044642445846
2018-02-08,-4074.3811008285393,-30535.811955404686,20920.10309712197
2018-02-09,3408.132042159309,-22793.978283235054,28467.165294391485
2018-02-10,5670.509342501041,-20952.423685130816,32267.348076064118
2018-02-11,12734.571221860624,-12569.136495125795,40010.3509307501
2018-02-12,10681.471798292787,-15345.98243410411,38206.8814971148
2018-02-13,11516.223529152523,-14505.999893920987,38223.94388226496
2018-02-14,7549.092532444516,-17741.289557862376,32940.06522582941
2018-02-15,-1727.0046870814858,-28404.48738428727,23430.92584112252
2018-02-16,5684.4293352780705,-19459.01965904691,30342.747941425067
2018-02-17,7822.951300444767,-18106.925195692496,33990.02374212401
2018-02-18,14712.622087911113,-9313.618773314874,41294.983137710886
2018-02-19,12438.109005921817,-15124.591385591379,37424.26319158663
2018-02-20,13009.115650986914,-12752.23666309691,37332.73425368209
2018-02-21,8741.652906197509,-16280.69826255586,35561.84520200712
2018-02-22,-864.7149473718055,-25629.715352626186,25858.43378794285
2018-02-23,6193.887360336507,-19702.809975134216,30173.404694291825
2018-02-24,7964.933517366799,-17625.52457874605,32866.222131238064
2018-02-25,14480.73682347556,-11567.141193592874,39002.25558545854
2018-02-26,11834.341086343704,-15288.427066000786,38790.04299827868
2018-02-27,12043.73701374455,-13502.168919636124,38150.48826340775
2018-02-28,7432.923173821299,-17985.25719411163,32323.488262465118
2018-03-01,-2491.0490524189554,-27479.176912153827,24142.878739014355
2018-03-02,4282.49505110894,-23311.02448307878,30692.866642036985
2018-03-03,5806.972823676542,-20771.395367134395,29756.372881677056
2018-03-04,12119.64054098782,-13391.980274496633,37990.880054070076
2018-03-05,9317.366406217094,-19727.48476546881,34298.9753408222
2018-03-06,9420.75901148319,-15713.797344490562,34510.73798780329
2018-03-07,4755.172539966104,-22185.660909152975,30433.871567736784
2018-03-08,-5172.27052329298,-33064.37200668969,20203.927374166324
2018-03-09,1647.902856482273,-24279.153884240022,26526.2562357365
2018-03-10,3266.6807889610463,-22891.9924402564,29351.047977223134
2018-03-11,9717.740172858928,-14649.25419673829,34777.253313335714
2018-03-12,7093.3270462927885,-19004.888071518293,33568.7370962677
2018-03-13,7408.519360059564,-17390.881579760866,33777.23564759279
2018-03-14,2982.3897241846826,-23689.492748039065,29840.043804626723
2018-03-15,-6684.795444090161,-30941.63176778798,19897.355882415606
2018-03-16,409.1968179272735,-25851.4648528336,26340.061761419147
2018-03-17,2307.9298786915388,-25154.476596037468,26983.945024630135
2018-03-18,9037.673969109333,-17795.855331256756,34561.54265070712
2018-03-19,6683.487165066147,-18236.1271701248,31512.474797076688
2018-03-20,7253.671232843029,-17981.921461028396,33093.60368131052
2018-03-21,3061.1146567078904,-23490.453899549873,28093.624682220605
2018-03-22,-6399.345596680732,-30884.572805711116,20025.879164556136
2018-03-23,869.9892320474719,-24751.745372873815,28904.914111282662
2018-03-24,2909.158314626513,-23654.903277358,29310.066580081504
2018-03-25,9742.003584348737,-13945.777112353258,34748.88072662604
2018-03-26,7452.305488563801,-18069.823001096676,33468.391377958986
2018-03-27,8048.261085941551,-17121.69740955063,33576.677210995585
2018-03-28,3843.81630894257,-21713.934050774587,29147.661153240784
2018-03-29,-5664.015639942583,-32217.520322498323,22421.344255527874
2018-03-30,1525.684363973185,-22800.612697301538,26772.397364040673
2018-03-31,3457.1162153842943,-24067.42151086467,28950.039565205218
2018-04-01,10159.093023688052,-17626.756060413136,35160.93472903537
2018-04-02,7721.024529196801,-18861.14660413825,32519.88232598208
2018-04-03,8157.224753539887,-19343.53088392684,35076.28594523616
2018-04-04,3788.060524021288,-19910.02266167637,28491.482671808273
2018-04-05,-5882.921972449225,-32979.62322242445,18895.922354050224
2018-04-06,1151.6469245332082,-23631.680754720404,25691.25310715354
2018-04-07,2942.143444251309,-24027.93123402544,28882.883907287556
2018-04-08,9523.099265048517,-16482.606382320137,36945.83257850208
2018-04-09,6989.014726795538,-17430.45020798233,32288.158602229927
2018-04-10,7358.514437161516,-18240.728116575356,33452.511937009884
2018-04-11,2955.3662047374164,-22383.763539908323,28345.923388638603
2018-04-12,-6714.495880716237,-33972.46593407597,19562.022030665004
2018-04-13,357.5982473509448,-26156.748890763993,26533.447371726874
2018-04-14,2222.19448877182,-23630.16864711751,27990.023053045115
2018-04-15,8912.85265175096,-15521.959371456385,33985.05126129154
2018-04-16,6521.98163977646,-19496.10473296759,32377.254504235785
2018-04-17,7065.049241178704,-19954.24133018281,33463.69321722415
2018-04-18,2861.685979178137,-22095.011786832103,29116.89509096869
2018-04-19,-6587.178493645375,-32606.593341931104,19780.08938059654
2018-04-20,721.3928746435631,-24430.83993554972,26598.4543564623
2018-04-21,2831.644378754885,-22662.744592629493,28843.704211451375
2018-04-22,9770.442575216335,-14971.3820731457,35341.32857773308
2018-04-23,7623.300433595101,-16422.966156188988,32573.503100360955
2018-04-24,8398.782826681494,-16359.761856473177,33072.88315802895
2018-04-25,4409.8073360043945,-22270.63971931388,30389.001957102068
2018-04-26,-4849.026673071088,-31624.524247980302,18665.631485676404
2018-04-27,2619.453204148256,-26167.843011397716,28877.04022138379
2018-04-28,4854.460382310157,-20432.922124887762,31140.323043852863
2018-04-29,11878.712813603572,-13467.616620861167,37810.72831129263
2018-04-30,9774.581813337787,-15795.423577009657,36612.578181759796
2018-05-01,10548.594807548821,-17648.78518068314,36939.525399452476
2018-05-02,6512.803181238748,-19027.37912066588,31309.823868691674
2018-05-03,-2837.853802669306,-28422.72484879398,24488.87330240232
2018-05-04,4495.343812254828,-20437.66865021401,29006.296157437766
2018-05-05,6554.332760856643,-18720.080331894238,30861.640735678717
2018-05-06,13365.665521443987,-10616.698075477614,38190.01053393824
2018-05-07,11016.563571105533,-13606.77397029173,36784.89529245959
2018-05-08,11519.296112567557,-14576.482279056227,36323.90299283006
2018-05-09,7192.3987733750755,-19371.287461469492,33266.50980424798
2018-05-10,-2462.1327026315503,-28734.341474704677,21774.48784222469
2018-05-11,4561.863687079081,-21933.60608694435,32027.573174831385
2018-05-12,6313.954271541046,-18325.844003889542,31855.964851445104
2018-05-13,12828.304734669053,-11699.252271110816,38549.985111775444
2018-05-14,10199.529115564368,-16463.39680519575,37774.929899800576
2018-05-15,10446.869581271123,-15947.155047931927,35995.10346205873
2018-05-16,5895.226957738586,-20453.685578375826,30091.79696217947
2018-05-17,-3947.817766154256,-30564.91159831374,25077.76691032201
2018-05-18,2928.5512618385037,-22636.36369752065,26253.660040444563
2018-05-19,4577.49632650466,-21685.838417664832,30905.14152416308
2018-05-20,11035.623135299138,-15299.736885306633,37477.370246340935
2018-05-21,8398.762977544568,-18198.866834606866,34842.98241738721
2018-05-22,8686.118733695224,-16822.060179099837,34913.82719261727
2018-05-23,4221.295690755222,-20349.89496945415,31443.180202727275
2018-05-24,-5490.642587086897,-30139.622260679072,20517.29713344316
2018-05-25,1557.4479847422317,-24950.239521163592,29104.017566286646
2018-05-26,3414.002479579218,-21474.0097886844,29629.23211551938
2018-05-27,10109.971520167219,-15181.55702471105,35535.47334779666
2018-05-28,7734.756202937343,-16808.868130749666,34752.14626661495
2018-05-29,8300.527894040573,-16288.482151440221,34074.922916678304
2018-05-30,4123.44910029066,-20602.339855481692,29578.991167855955
2018-05-31,-5299.069539895283,-30095.039409108696,23177.28709141457
2018-06-01,2032.4596618652813,-23788.56478053047,27737.995224093473
2018-06-02,4159.018478535416,-21956.730390035005,30516.86077505713
2018-06-03,11104.508122918081,-14251.460552215878,38071.03424451029
2018-06-04,8951.873691210676,-19072.923930086134,33002.158144193534
