ds,yhat,yhat_lower,yhat_upper
2018-01-01,-18957.218843119037,-61893.55689561074,23274.506645094752
2018-01-08,-10162.1977991071,-53306.35212704612,33131.37622310319
2018-01-15,7606.505541538394,-35557.68830323473,49156.46618156601
2018-01-22,15953.947441400507,-29165.951098105983,57659.01994183485
2018-01-29,6116.059208311701,-36331.29293312494,49450.40367556565
2018-02-05,38245.20269385681,-6241.0310502197635,79268.50666081348
2018-02-12,37003.14949490109,-5145.186137628947,79368.74513444633
2018-02-19,61202.66651079263,21385.6524827104,105647.05429601502
2018-02-26,54129.34755536594,11876.94264783803,95348.89441401679
2018-03-05,29829.926313518572,-11635.235834510551,71593.1305677311
2018-03-12,16333.110899441761,-25839.431568501626,56528.889255373884
2018-03-19,9020.794945927231,-31529.79977535004,48160.68614049789
2018-03-26,21919.982723974776,-21920.67444702072,64676.01997398032
2018-04-02,27546.244593685864,-15657.04000490042,67654.45732299851
2018-04-09,3275.8826654215045,-38250.332677594655,42144.43804598061
2018-04-16,44458.667257399844,-710.7034481574801,88638.66478923975
2018-04-23,50752.48639780472,9458.920607157695,98007.72558332753
2018-04-30,21264.62860165671,-22721.18118254114,61785.65277818211
2018-05-07,36706.301721664306,-5607.973072606937,79084.94313521609
2018-05-14,26117.6827520291,-16326.671240138827,69661.44081463426
2018-05-21,51708.483491832274,10019.64297586621,92318.96327391763
2018-05-28,74899.05128891388,32879.267703515616,116377.28393359926
2018-06-04,-2119.8502002247005,-41552.89622003757,41999.35717886761
2018-06-11,40153.2267441073,-500.94876625938645,83315.82172289651
2018-06-18,24421.010085781472,-16819.8361916993,66573.76044484369
2018-06-25,79825.42502917652,42051.43514031266,122614.98197017095
2018-07-02,38944.630289584486,-1366.491213449228,85926.12383360024
2018-07-09,32318.522774716213,-11754.907850972217,74043.22383149024
2018-07-16,44498.72587184362,50.857227472805846,88284.62446793719
2018-07-23,66587.14048883136,24735.218866085357,110860.24776828803
2018-07-30,23400.494584348453,-21855.062462105314,65723.71165453736
2018-08-06,50297.537421451954,11010.262482891416,93919.27074980343
2018-08-13,14092.767556379444,-28693.347635555783,53581.37222577032
2018-08-20,61376.48261008738,20262.73012273722,103475.05567915768
2018-08-27,58789.50336653545,15901.081361794344,100527.35590760894
2018-09-03,99071.95548606312,55892.90669306265,142694.60736177576
2018-09-10,34451.98757333862,-10521.405614284668,76491.80460020585
2018-09-17,28191.266455824007,-19091.14993991051,67894.59035530557
2018-09-24,16259.647296453477,-24837.757515192225,56723.914911224514
2018-10-01,102336.48282919207,59263.93390851743,144367.03761753772
2018-10-08,70579.11233120642,27816.777707590045,112989.36797054883
2018-10-15,122928.35374290997,80501.38673396422,166314.0953639297
2018-10-22,202888.4499959386,161762.59526559175,245242.6847858872
2018-10-29,95950.37013401827,51939.02085120769,138051.67088969456
2018-11-05,289018.8479308542,244539.629312824,329089.2130154284
2018-11-12,307280.7629928198,269102.2397046247,353765.2736264806
2018-11-19,184298.51770730683,142487.55252329414,226676.9052099521
2018-11-26,167249.6714634345,122477.03089345882,210644.4446442399
2018-12-03,125188.02419319803,83402.88420207107,165518.53779987036
2018-12-10,6201.188817070397,-35408.71181353125,47773.98033445664
2018-12-17,-22122.422344653845,-64241.639959553446,23726.54049013888
2018-12-24,-20303.100107787643,-60565.727807100884,21804.069024850123
2018-12-31,57915.66851801546,16364.381865485211,100850.92790840246
2019-01-07,96663.98480430947,55876.54404734835,139217.72159971995
2019-01-14,101064.46810278817,58911.42185745318,143132.81034641204
2019-01-21,43287.99684796506,2326.041220148115,89358.31536841426
2019-01-28,55293.54171558331,11856.546899750465,95168.48895902796
2019-02-04,94292.84214349033,53291.55923512611,137950.56225121193
2019-02-11,63133.34481434958,20008.09991765117,105851.11994296461
2019-02-18,130803.77778563355,90733.22376336913,173230.93167551002
2019-02-25,50294.58765523732,6009.1849647555155,89163.03678723607
2019-03-04,14642.269715228427,-30207.897570760277,55046.243149938746
2019-03-11,116053.49621398057,71531.90937334021,155507.7506844443
2019-03-18,41466.94201519135,-1528.8682232433632,85925.08673743163
2019-03-25,9950.692471194197,-36326.454838936224,51059.99933360754
2019-04-01,74351.0889214474,32524.00240932508,118255.12686625468
2019-04-08,74004.70253934618,33459.26380494806,116037.66961474606
2019-04-15,7129.789461781402,-35943.2296054827,51894.23188307082
2019-04-22,42616.5932626279,466.19391906354605,89710.25365534422
2019-04-29,131251.04823153734,86854.83560740166,176833.89667690042
2019-05-06,66495.61651042479,28020.29550130906,109810.98191831188
2019-05-13,21679.996076843887,-22110.08712056444,65560.22510994851
2019-05-20,77445.97226511451,32776.4952312272,116860.2110746796
2019-05-27,76657.45787137085,35438.18681226621,118107.54840172555
2019-06-03,28442.890912550614,-9155.176657899283,74100.81280914372
2019-06-10,71886.56491469976,29251.904084252197,113324.02810474775
2019-06-17,57104.56181786309,14719.987216575222,99678.82717937327
2019-06-24,72701.68772234474,28085.688365517915,112584.13863564984
2019-07-01,85615.79936187644,43219.84190315103,128718.04713779487
2019-07-08,36027.86905415736,-4860.802011570438,81281.2425039132
2019-07-15,95040.54674048176,54857.825895153124,138236.63057751764
2019-07-22,73465.38545320895,30036.236511025032,114873.4658701021
2019-07-29,60638.24336090322,17589.179448760267,103236.83323100129
2019-08-05,101330.29593369829,61558.60205290923,145169.88409526745
2019-08-12,59050.94820924287,18780.691718117938,102522.55003003137
2019-08-19,129457.98509707506,83103.42432386226,170414.38926799476
2019-08-26,128049.6257366122,85817.50181373965,170440.89099541612
2019-09-02,91357.11229116851,52167.70206209028,132901.3994861892
2019-09-09,105964.11756210358,61861.57485155076,147727.955200638
2019-09-16,52838.48837133116,10371.454469789587,98237.14235920824
2019-09-23,45642.09433301962,5688.142995455832,91778.5071830307
2019-09-30,93913.11752782577,52263.38665172612,134913.19258922988
2019-10-07,121455.8636747083,78312.14305068059,163818.58239058364
2019-10-14,174923.65889978013,132468.96828191692,216102.66727227755
2019-10-21,131978.48040225008,89187.06282746153,174788.5839072582
2019-10-28,191041.66350091712,148480.1042651839,232881.78561075372
2019-11-04,267329.3517766694,224777.9119193311,312105.9749016161
2019-11-11,258231.47833020822,211709.79240296618,300785.2054863073
2019-11-18,263660.9549247007,220772.3779738724,307365.0253018868
2019-11-25,205061.08140229862,165790.57128399608,249825.6116380988
2019-12-02,176269.4288139298,132618.82183172595,217959.69061828387
2019-12-09,185845.64886499874,141754.74198325764,223668.00837680002
2019-12-16,21740.778293827214,-20014.09635592022,61594.67639483894
2019-12-23,-4925.51025851439,-48139.0608837722,37177.57981590914
2019-12-30,42306.4163154938,-62.31733260932442,82398.56284221899
2020-01-06,129608.84868660524,85731.61836304437,170270.81210152662
2020-01-13,39940.14996070709,81.76816468158844,80323.26301421
2020-01-20,87386.68170840485,47033.782181958944,130375.50895635693
2020-01-27,110567.51991089486,67370.7273429238,150218.05609344153
2020-02-03,73361.1217086301,30641.367360204324,115320.65633771934
2020-02-10,129710.68725815383,85153.33615220134,172650.4736674571
2020-02-17,104584.69499230428,63095.64756774585,146127.15729054358
2020-02-24,91045.71873116931,48585.379928337374,134359.28037848655
2020-03-02,114294.21052636499,72379.22940756987,157465.43439592747
2020-03-09,72368.34363280318,32640.50150215655,115431.61611747232
2020-03-16,32669.026354599668,-8870.524417813042,72252.97379817846
2020-03-23,91178.76452369962,48684.35473597212,129057.06812678718
2020-03-30,108618.92338723251,65960.73509104278,149323.27541775155
2020-04-06,47002.538754520734,6728.304832454022,89672.03222550846
